variable,year,value,unit
cl,2000,-0.028246932791333723,%
cl,2001,-0.024371660239664195,%
cl,2002,-0.02410528801109546,%
cl,2003,-0.007508532965094794,%
cl,2004,-0.01355102343882586,%
