variable,year,value,unit
mmrbc,2000,-0.21022876080430522,kg kg-1
mmrbc,2001,-0.03993572871417489,kg kg-1
mmrbc,2002,-0.03632338483110924,kg kg-1
mmrbc,2003,-0.29533679929641043,kg kg-1
mmrbc,2004,-0.22302943017945884,kg kg-1
