variable,year,value,unit
emiso2,2000,-2.2322916982270318e-14,kg m-2 s-1
emiso2,2001,-2.3286560510051065e-14,kg m-2 s-1
emiso2,2002,-2.3974034222236093e-14,kg m-2 s-1
emiso2,2003,-2.435667560467449e-14,kg m-2 s-1
emiso2,2004,-2.7044564667568697e-14,kg m-2 s-1
