"","models","slopes","intercepts","r_squared"
"1","CAM-ATRAS",1.60874203842029,-4.49990670921606e-09,0.894783959366636
"2","CESM1",2.76273128981653,-1.63148982395823e-09,0.996220459333455
"3","E3SM",2.88711184783164,7.75991831410747e-09,0.979428155969594
"4","GISS-E2.1",1.60181296682163,5.48901026201779e-09,0.988188679343503
"5","NorESM2",3.05330274300475,3.42369259057372e-09,0.841137881646229
