"","models","slopes","intercepts","r_squared"
"1","CAM-ATRAS",-3192061.13981346,0.0497138845694619,0.900091584711902
"2","CESM1",-3203925.32520114,-0.0642884874058736,0.947706089855197
"3","E3SM",-1077459.74724956,0.00896419409148175,0.823089817050552
"4","GFDL-ESM4",-355797.196674901,0.0254858183693378,0.122486018859862
"5","GISS-E2.1",-1817505.76795893,0.0137862150250063,0.455903729297181
"6","NorESM2",-1777846.26219619,0.0212091230614777,0.726536095780484
