variable,year,value,unit
loadso4,2000,-3.0979072413959767,kg m-2
loadso4,2001,-3.0219620832555614,kg m-2
loadso4,2002,-2.980110918492502,kg m-2
loadso4,2003,-3.1199041898687545,kg m-2
loadso4,2004,-3.102720833255866,kg m-2
