"","region","mean","sd"
"1","global",0.0669108064666667,0.0634211002633769
"2","NH_atlantic",0.186911294017972,0.22395777892802
"3","NH_pacific",0.12975620232518,0.189134021292095
"4","NH_indian",0.0949453328276562,0.890789313247902
"5","land",0.0255953568121778,0.113405261303756
"6","sea",0.08030198197275,0.0713756724997775
