"","variable","model","experiment","value","sd"
"63","loadso4","GISS-E2.1","shp_30p_red",-2.80051022172661e-08,2.88010315587677e-09
"64","loadso4","NorESM2","shp_30p_red",-1.92052972027682e-08,6.25638635963813e-09
"65","mmrbc","CAM-ATRAS","shp_30p_red",-2.70486153093811e-14,5.21665024834165e-14
"66","mmrbc","CESM1","shp_30p_red",2.30672983004556e-14,5.30297344971358e-14
"67","mmrbc","GISS-E2.1","shp_30p_red",-5.65175464748265e-15,2.73896074125974e-14
"68","mmrbc","NorESM2","shp_30p_red",-3.36571822372819e-15,4.49416601218454e-14
"69","mmrso4","CAM-ATRAS","shp_30p_red",-1.96858558480628e-11,1.62420123313667e-12
"70","mmrso4","CESM1","shp_30p_red",-1.8372335195066e-11,1.19814643726846e-12
"71","mmrso4","GFDL-ESM4","shp_30p_red",-1.9690596060184e-11,1.73234409165143e-12
"72","mmrso4","GISS-E2.1","shp_30p_red",-1.31832866612742e-11,8.88003595345831e-13
"73","mmrso4","NorESM2","shp_30p_red",-8.35092182194366e-12,1.22110984698659e-12
"74","od550aer","CAM-ATRAS","shp_30p_red",-0.000170722473531362,0.000116894354533842
"75","od550aer","CESM1","shp_30p_red",-0.000442581352331914,3.27276119539526e-05
"76","od550aer","E3SM","shp_30p_red",-0.000398863355078805,0.000137156311689024
"77","od550aer","GFDL-ESM4","shp_30p_red",-0.000534811579284805,0.000250428175352533
"78","od550aer","GISS-E2.1","shp_30p_red",-0.000817960534173306,4.87221495879282e-05
"79","rlut","CAM-ATRAS","shp_30p_red",-0.0138049561995047,0.0208137308981597
"80","rlut","CESM1","shp_30p_red",-0.0468580986229313,0.0612911051796114
"81","rlut","E3SM","shp_30p_red",-0.0353333484954703,0.0550645355692588
"82","rlut","GFDL-ESM4","shp_30p_red",-0.00910388714904116,0.0704745534443591
"83","rlut","GISS-E2.1","shp_30p_red",0.00454073855926822,0.0143417940827581
"84","rlut","NorESM2","shp_30p_red",-0.00474207714070758,0.0633907214431223
"85","rlutcs","CAM-ATRAS","shp_30p_red",-0.00261416166254094,0.00945192556063074
"86","rlutcs","CESM1","shp_30p_red",-0.018369108337231,0.015367404889733
"87","rlutcs","E3SM","shp_30p_red",-0.00877010359697579,0.0173902378664314
"88","rlutcs","GFDL-ESM4","shp_30p_red",0.00965207457117003,0.0221772678743101
"89","rlutcs","GISS-E2.1","shp_30p_red",-0.00069041668510863,0.00356730219109082
"90","rlutcs","NorESM2","shp_30p_red",-0.00780193987768598,0.0188668865700597
"91","rsdt","CAM-ATRAS","shp_30p_red",1.89781417248014e-08,1.55758585676003e-07
"92","rsdt","CESM1","shp_30p_red",0,0
"93","rsdt","E3SM","shp_30p_red",0,0
