"","variable","model","experiment","value","sd"
"63","loadso4","GFDL-ESM4","shp_30p_red",-7.79193375184548e-08,2.49585167697017e-09
"64","loadso4","GISS-E2.1","shp_30p_red",-6.09352810102395e-08,1.53208816382779e-09
"65","loadso4","NorESM2","shp_30p_red",-4.71349689501406e-08,9.3704142919238e-09
"66","mmrbc","CAM-ATRAS","shp_30p_red",-6.12728752361295e-14,7.25186397780937e-14
"67","mmrbc","CESM1","shp_30p_red",-2.68568476210441e-14,6.53093620888963e-14
"68","mmrbc","GISS-E2.1","shp_30p_red",-6.95083895904943e-16,6.46346098605089e-14
"69","mmrbc","NorESM2","shp_30p_red",-5.05331165926685e-14,8.54515336165501e-14
"70","mmrso4","CAM-ATRAS","shp_30p_red",-4.85127804275149e-11,3.51196183967449e-12
"71","mmrso4","CESM1","shp_30p_red",-4.08984634952966e-11,2.24912007537303e-12
"72","mmrso4","GFDL-ESM4","shp_30p_red",-3.71882812220665e-11,2.59162987641084e-12
"73","mmrso4","GISS-E2.1","shp_30p_red",-3.33105956500705e-11,1.52636240685505e-12
"74","mmrso4","NorESM2","shp_30p_red",-2.07172515860808e-11,2.32676988390683e-12
"75","od550aer","CAM-ATRAS","shp_30p_red",-0.000513246783677879,0.00010417384043139
"76","od550aer","CESM1","shp_30p_red",-0.00122238529284258,0.000342211793721288
"77","od550aer","E3SM","shp_30p_red",-0.000920154496415165,7.77883638701407e-05
"78","od550aer","GFDL-ESM4","shp_30p_red",-0.000675875141456267,0.000481907863159137
"79","od550aer","GISS-E2.1","shp_30p_red",-0.00199169360522364,0.000238973648756827
"80","rlut","CAM-ATRAS","shp_30p_red",-0.0108278508940259,0.0136978962338628
"81","rlut","CESM1","shp_30p_red",-0.0739985469966143,0.0242391117783237
"82","rlut","E3SM","shp_30p_red",0.0168521393951153,0.0625941316555328
"83","rlut","GFDL-ESM4","shp_30p_red",0.0137094087498838,0.0582699101081742
"84","rlut","GISS-E2.1","shp_30p_red",-0.0132331208034827,0.0116795635021146
"85","rlut","NorESM2","shp_30p_red",0.0504387292877595,0.0886738011130485
"86","rlutcs","CAM-ATRAS","shp_30p_red",0.000883477308241254,0.00531514655937235
"87","rlutcs","CESM1","shp_30p_red",-0.0182440310812353,0.00772242424457036
"88","rlutcs","E3SM","shp_30p_red",0.0110687410399009,0.0101017511536324
"89","rlutcs","GFDL-ESM4","shp_30p_red",0.0157349720728234,0.0164210528667928
"90","rlutcs","GISS-E2.1","shp_30p_red",-0.00382340432141746,0.00482611675186237
"91","rlutcs","NorESM2","shp_30p_red",-0.00512058010098144,0.0283022791150977
"92","rsdt","CAM-ATRAS","shp_30p_red",-4.63636183667404e-08,3.24220388642488e-07
"93","rsdt","CESM1","shp_30p_red",0,0
"94","rsdt","E3SM","shp_30p_red",0,0
"95","rsdt","GFDL-ESM4","shp_30p_red",0,0
"96","rsdt","NorESM2","shp_30p_red",-2.06057006835181e-07,3.04640645305942e-07
"97","rsut","CAM-ATRAS","shp_30p_red",0.150511779810597,0.0176853987646588
"98","rsut","CESM1","shp_30p_red",0.215920029387877,0.0869540329015145
"99","rsut","E3SM","shp_30p_red",0.049215039435245,0.0715309131382098
"100","rsut","GFDL-ESM4","shp_30p_red",0.0400689889066172,0.068352491661023
