Species,Group
emibc,1
emiso2,1
mmrbc,2
mmrso4,2
so2,2
rlut,3
rsut,3
rsdt,3
rlutcs,3
rsutcs,3
drybc,1
wetbc,1
dryso2,1
wetso2,1
dryso4,1
wetso4,1
od550aer,4
clt,4
cltc,4
net_rad,3
imp_cld,4
net_rad_cs,3
tot_bc,1
tot_s,1
