variable,year,value,unit
so2,2001,9.767524319617699e-11,mol mol-1
so2,2002,9.795641745605084e-11,mol mol-1
so2,2003,9.871676186972275e-11,mol mol-1
so2,2004,1.0167812973956747e-10,mol mol-1
