vars,com_vars,reg,exper
emibc,net_rad,arctic,bc_no_season
emiso2,net_rad_cs,global,high_so4
mmrbc,tot_bc,land,no_so4
mmrso4,tot_s,NH_atlantic,so2_at_height
so2,imp_cld,NH_indian,so2_no_season
rlut,,NH_pacific,
rsut,,NH_sea,
rsdt,,sea,
rlutcs,,SH_land,
rsutcs,,SH_sea,
drybc,,,
wetbc,,,
dryso2,,,
wetso2,,,
dryso4,,,
wetso4,,,
od550aer,,,
clt,,,
cltc,,,
cl,,,
clivi,,,
dms,,,
loadbc,,,
loadso2,,,
loadso4,,,
