variable,year,value,unit
mmrso4,2000,7.696626230141311e-11,kg kg-1
mmrso4,2001,7.916854002640728e-11,kg kg-1
mmrso4,2002,7.944518316300549e-11,kg kg-1
mmrso4,2003,7.10567841131316e-11,kg kg-1
mmrso4,2004,7.109540969722803e-11,kg kg-1
