"","models","slopes","intercepts","r_squared"
"1","CAM-ATRAS",3.76430070048352,1.77338328725325e-11,0.999035798948424
"2","CESM1",1.88681070088561,-9.05318878370977e-09,0.987949888971414
"3","E3SM",1.79538383898188,-1.31052598221634e-08,0.996630881732424
"4","GFDL-ESM4",3.24490456508198,5.46999650868131e-09,1
"5","GISS-E2.1",2.18272367215789,-1.66933934521773e-09,0.993560872341696
"6","NorESM2",2.22499375782248,-2.33947602101162e-09,0.998767031007368
